name,family,ticker,category,flag,actual_oos_sharpe,actual_oos_dd,p05_sharpe,p50_sharpe,p95_sharpe,mean_boot_sharpe,worst_dd
vol_scaled_mom__rv_window63__vol_target0.12__damp0.5,vol_scaled_mom,BTC-USD,trend,solid,1.088,-0.135,1.0885,1.0885,1.0885,1.0885,-0.2654
turn_of_month__days_before4__days_after4,turn_of_month,HYG,pattern,solid,0.936,-0.0429,0.9364,0.9364,0.9364,0.9364,-0.0861
turn_of_month__days_before5__days_after5,turn_of_month,XLY,pattern,solid,0.9345,-0.1037,0.9349,0.9349,0.9349,0.9349,-0.271
turn_of_month__days_before5__days_after5,turn_of_month,HYG,pattern,solid,0.9205,-0.0521,0.9209,0.9209,0.9209,0.9209,-0.1002
turn_of_month__days_before5__days_after5,turn_of_month,JPM,pattern,solid,0.9018,-0.1872,0.9022,0.9022,0.9022,0.9022,-0.3554
frog_in_pan__lookback252__skip21__id_cutoff0.45,frog_in_pan,SPY,trend,solid,0.8968,-0.0993,0.8972,0.8972,0.8972,0.8972,-0.2532
intermediate_mom__start252__end63,intermediate_mom,XLY,trend,solid,0.8891,-0.215,0.8894,0.8894,0.8894,0.8894,-0.393
atr_breakout__period14__mult1.5,atr_breakout,BTC-USD,volatility,fragile,0.8811,-0.298,0.8815,0.8815,0.8815,0.8815,-0.5742
dual_momentum__period252,dual_momentum,XLY,trend,solid,0.8471,-0.2313,0.8475,0.8475,0.8475,0.8475,-0.3882
dual_momentum__period63,dual_momentum,NVDA,trend,fragile,0.8294,-0.2939,0.8297,0.8297,0.8297,0.8297,-0.656
stochastic__k5__d3__lo20__hi80,stochastic,MSFT,meanrev,solid,0.8289,-0.1786,0.8293,0.8293,0.8293,0.8293,-0.2935
percent_b__period20__std2.0__lo0.05__hi0.95,percent_b,XLK,meanrev,solid,0.8259,-0.0836,0.8262,0.8262,0.8262,0.8262,-0.214
seasonality__n_years5,seasonality,GOOGL,pattern,fragile,0.8165,-0.3442,0.8169,0.8169,0.8169,0.8169,-0.5324
atr_breakout__period10__mult1.5,atr_breakout,BTC-USD,volatility,fragile,0.8145,-0.2896,0.8148,0.8148,0.8148,0.8148,-0.5162
dual_momentum__period126,dual_momentum,XLY,trend,solid,0.809,-0.1969,0.8093,0.8093,0.8093,0.8093,-0.3935
turn_of_month__days_before4__days_after4,turn_of_month,XLY,pattern,solid,0.8073,-0.1378,0.8077,0.8077,0.8077,0.8077,-0.2728
intermediate_mom__start252__end126,intermediate_mom,XLP,trend,solid,0.8057,-0.1477,0.806,0.806,0.806,0.806,-0.2844
turn_of_month__days_before5__days_after5,turn_of_month,SPY,pattern,solid,0.7979,-0.1089,0.7982,0.7982,0.7982,0.7982,-0.2356
bb_breakout__period50__std2.0,bb_breakout,BTC-USD,trend,solid,0.7832,-0.3424,0.7836,0.7836,0.7836,0.7836,-0.443
ts_momentum__period252,ts_momentum,XLY,trend,solid,0.7745,-0.2505,0.7748,0.7748,0.7748,0.7748,-0.4275
frog_in_pan__lookback252__skip0__id_cutoff0.5,frog_in_pan,XLY,trend,solid,0.7677,-0.2487,0.7681,0.7681,0.7681,0.7681,-0.3872
dual_momentum__period126,dual_momentum,SPY,trend,solid,0.7638,-0.1728,0.7642,0.7642,0.7642,0.7642,-0.3016
vol_scaled_mom__rv_window21__vol_target0.08__damp0.5,vol_scaled_mom,BTC-USD,trend,solid,0.7538,-0.1511,0.7542,0.7542,0.7542,0.7542,-0.2341
trend_intensity__period50,trend_intensity,SPY,trend,solid,0.7535,-0.0686,0.7539,0.7539,0.7539,0.7539,-0.128
dual_momentum__period126,dual_momentum,QQQ,trend,solid,0.7532,-0.1731,0.7535,0.7535,0.7535,0.7535,-0.4156
vol_scaled_mom__rv_window21__vol_target0.12__damp0.0,vol_scaled_mom,BTC-USD,trend,solid,0.7489,-0.2222,0.7492,0.7492,0.7492,0.7492,-0.3263
keltner_reversion__period20__mult2.0,keltner_reversion,MSFT,meanrev,solid,0.745,-0.0825,0.7454,0.7454,0.7454,0.7454,-0.2456
turn_of_month__days_before5__days_after5,turn_of_month,XLF,pattern,solid,0.7408,-0.1292,0.7411,0.7411,0.7411,0.7411,-0.3079
frog_in_pan__lookback252__skip21__id_cutoff0.45,frog_in_pan,XLY,trend,solid,0.7399,-0.215,0.7402,0.7402,0.7402,0.7402,-0.3576
stoch_rsi__rsi_period14__stoch_period14__lo10.0__hi90.0,stoch_rsi,TLT,meanrev,solid,0.7379,-0.0851,0.7382,0.7382,0.7382,0.7382,-0.1808
