name,family,ticker,category,is_sharpe,oos_sharpe,oos_drawdown,trade_count
dema_crossover__fast5__slow20,dema_crossover,SPY,trend,0.0806,-0.4434,-0.334,410
dema_crossover__fast10__slow40,dema_crossover,SPY,trend,0.1748,-0.7542,-0.5096,238
dema_crossover__fast12__slow26,dema_crossover,SPY,trend,0.1266,-0.7341,-0.4398,254
dema_crossover__fast20__slow50,dema_crossover,SPY,trend,-0.316,-0.6463,-0.4532,156
dema_crossover__fast10__slow30,dema_crossover,SPY,trend,0.2231,-0.7348,-0.4504,264
tema_crossover__fast5__slow20,tema_crossover,SPY,trend,-0.0648,-0.1836,-0.3256,574
tema_crossover__fast10__slow40,tema_crossover,SPY,trend,0.0239,-0.8241,-0.4617,326
tema_crossover__fast12__slow26,tema_crossover,SPY,trend,0.2884,-0.7234,-0.422,296
tema_crossover__fast20__slow50,tema_crossover,SPY,trend,0.1363,-0.7909,-0.5047,196
tema_crossover__fast10__slow30,tema_crossover,SPY,trend,0.211,-0.5612,-0.3637,308
price_acceleration__period10__smooth3,price_acceleration,SPY,trend,0.0076,-0.0275,-0.2624,1000
price_acceleration__period20__smooth5,price_acceleration,SPY,trend,0.0119,-0.5523,-0.3732,810
price_acceleration__period20__smooth3,price_acceleration,SPY,trend,-0.2266,-0.5816,-0.4405,1018
price_acceleration__period30__smooth5,price_acceleration,SPY,trend,-0.2857,-0.5575,-0.367,804
price_acceleration__period40__smooth10,price_acceleration,SPY,trend,-0.0385,-0.3534,-0.3111,598
price_acceleration__period10__smooth5,price_acceleration,SPY,trend,-0.1074,-0.1513,-0.2824,803
turn_of_month__days_before3__days_after3,turn_of_month,SPY,pattern,0.7764,0.24,-0.1077,360
turn_of_month__days_before4__days_after4,turn_of_month,SPY,pattern,0.904,0.5576,-0.1071,360
turn_of_month__days_before5__days_after5,turn_of_month,SPY,pattern,0.9207,0.7979,-0.1089,360
turn_of_month__days_before3__days_after5,turn_of_month,SPY,pattern,0.8452,0.4127,-0.1593,360
trend_intensity__period20,trend_intensity,SPY,trend,0.1141,0.3647,-0.0687,363
trend_intensity__period30,trend_intensity,SPY,trend,0.0212,0.1395,-0.0797,302
trend_intensity__period50,trend_intensity,SPY,trend,0.58,0.7535,-0.0686,158
trend_intensity__period63,trend_intensity,SPY,trend,0.4115,0.4725,-0.0574,148
ma_regime_momentum__regime_ma200__mom_period126__skip21,ma_regime_momentum,SPY,trend,0.3708,0.5762,-0.2057,166
ma_regime_momentum__regime_ma200__mom_period252__skip21,ma_regime_momentum,SPY,trend,0.4612,0.6248,-0.1782,137
ma_regime_momentum__regime_ma200__mom_period63__skip0,ma_regime_momentum,SPY,trend,0.3015,0.3732,-0.3034,231
ma_regime_momentum__regime_ma100__mom_period126__skip21,ma_regime_momentum,SPY,trend,0.3383,0.3347,-0.2536,244
ma_regime_momentum__regime_ma50__mom_period63__skip0,ma_regime_momentum,SPY,trend,0.072,-0.3194,-0.4281,390
dema_crossover__fast5__slow20,dema_crossover,QQQ,trend,0.217,-0.1094,-0.2874,415
dema_crossover__fast10__slow40,dema_crossover,QQQ,trend,-0.0102,-0.5786,-0.5477,225
dema_crossover__fast12__slow26,dema_crossover,QQQ,trend,-0.1621,-0.6411,-0.5419,247
dema_crossover__fast20__slow50,dema_crossover,QQQ,trend,-0.1266,-0.2041,-0.4412,140
dema_crossover__fast10__slow30,dema_crossover,QQQ,trend,-0.1614,-0.5998,-0.5351,245
tema_crossover__fast5__slow20,tema_crossover,QQQ,trend,-0.2126,-0.2453,-0.2674,577
tema_crossover__fast10__slow40,tema_crossover,QQQ,trend,0.06,-0.0131,-0.2504,281
tema_crossover__fast12__slow26,tema_crossover,QQQ,trend,0.0785,-0.0305,-0.2612,281
tema_crossover__fast20__slow50,tema_crossover,QQQ,trend,-0.1517,-0.6567,-0.6098,187
tema_crossover__fast10__slow30,tema_crossover,QQQ,trend,0.0819,0.2107,-0.2296,295
price_acceleration__period10__smooth3,price_acceleration,QQQ,trend,0.1618,0.2534,-0.3261,956
price_acceleration__period20__smooth5,price_acceleration,QQQ,trend,-0.204,-0.3089,-0.4578,772
price_acceleration__period20__smooth3,price_acceleration,QQQ,trend,-0.0711,-0.8883,-0.582,1048
price_acceleration__period30__smooth5,price_acceleration,QQQ,trend,-0.2104,-0.6924,-0.535,786
price_acceleration__period40__smooth10,price_acceleration,QQQ,trend,-0.0864,-0.1169,-0.2914,571
price_acceleration__period10__smooth5,price_acceleration,QQQ,trend,-0.2317,-0.4575,-0.4219,768
turn_of_month__days_before3__days_after3,turn_of_month,QQQ,pattern,0.8212,0.1944,-0.1451,360
turn_of_month__days_before4__days_after4,turn_of_month,QQQ,pattern,0.9011,0.49,-0.1478,360
turn_of_month__days_before5__days_after5,turn_of_month,QQQ,pattern,0.9035,0.5976,-0.1305,360
turn_of_month__days_before3__days_after5,turn_of_month,QQQ,pattern,0.8276,0.249,-0.1819,360
trend_intensity__period20,trend_intensity,QQQ,trend,0.6867,0.6809,-0.0962,342
trend_intensity__period30,trend_intensity,QQQ,trend,0.1958,0.3431,-0.1544,258
trend_intensity__period50,trend_intensity,QQQ,trend,0.0397,-0.0293,-0.12,150
trend_intensity__period63,trend_intensity,QQQ,trend,-0.081,0.4193,-0.0821,138
ma_regime_momentum__regime_ma200__mom_period126__skip21,ma_regime_momentum,QQQ,trend,0.5724,0.4842,-0.2396,154
ma_regime_momentum__regime_ma200__mom_period252__skip21,ma_regime_momentum,QQQ,trend,0.7837,0.5442,-0.2583,122
ma_regime_momentum__regime_ma200__mom_period63__skip0,ma_regime_momentum,QQQ,trend,0.3903,0.0632,-0.3164,213
