name,family,ticker,category,is_sharpe,oos_sharpe,oos_drawdown,trade_count
high52_momentum__period252__threshold0.7,high52_momentum,SPY,trend,0.4473,0.4619,-0.2887,135
high52_momentum__period252__threshold0.75,high52_momentum,SPY,trend,0.4247,0.5388,-0.2172,165
high52_momentum__period252__threshold0.8,high52_momentum,SPY,trend,0.3935,0.3924,-0.3036,185
high52_momentum__period126__threshold0.7,high52_momentum,SPY,trend,0.3256,0.0648,-0.3715,253
high52_momentum__period126__threshold0.75,high52_momentum,SPY,trend,0.3173,0.1488,-0.3218,273
short_reversal__period5,short_reversal,SPY,meanrev,0.3548,0.2024,-0.2008,750
short_reversal__period10,short_reversal,SPY,meanrev,-0.2939,0.6786,-0.141,461
short_reversal__period15,short_reversal,SPY,meanrev,-0.1804,0.8364,-0.1458,388
short_reversal__period20,short_reversal,SPY,meanrev,-0.3723,0.2384,-0.1773,333
low_vol_regime__period20__ma_period60,low_vol_regime,SPY,volatility,-0.2178,-0.1942,-0.1753,174
low_vol_regime__period20__ma_period120,low_vol_regime,SPY,volatility,0.1164,-0.1371,-0.2048,168
low_vol_regime__period60__ma_period120,low_vol_regime,SPY,volatility,0.0781,-0.1758,-0.2453,54
low_vol_regime__period20__ma_period252,low_vol_regime,SPY,volatility,-0.0687,0.0051,-0.1673,168
low_vol_regime__period60__ma_period252,low_vol_regime,SPY,volatility,0.1593,0.3503,-0.2211,76
low_vol_regime__period120__ma_period252,low_vol_regime,SPY,volatility,0.3456,0.5429,-0.114,34
nr_breakout__nr_period4__exit_bars3,nr_breakout,SPY,pattern,0.3002,-0.0362,-0.1177,949
nr_breakout__nr_period4__exit_bars5,nr_breakout,SPY,pattern,0.2547,0.3988,-0.1371,757
nr_breakout__nr_period7__exit_bars3,nr_breakout,SPY,pattern,-0.0136,-0.0599,-0.1277,660
nr_breakout__nr_period7__exit_bars5,nr_breakout,SPY,pattern,0.1912,0.6549,-0.1051,576
nr_breakout__nr_period10__exit_bars5,nr_breakout,SPY,pattern,0.4055,0.6681,-0.121,477
nr_breakout__nr_period10__exit_bars10,nr_breakout,SPY,pattern,0.0268,1.0941,-0.0822,390
overnight_gap__period1__threshold0.001,overnight_gap,SPY,volume,-0.5832,0.7764,-0.1762,2433
overnight_gap__period1__threshold0.003,overnight_gap,SPY,volume,-0.463,0.3288,-0.2205,2220
overnight_gap__period3__threshold0.001,overnight_gap,SPY,volume,0.0084,0.4088,-0.1842,1578
overnight_gap__period3__threshold0.003,overnight_gap,SPY,volume,0.1522,0.3162,-0.1358,949
