family,category,flag,n_configs,n_total,mean_oos_sharpe,std_oos_sharpe,pct_positive
dual_momentum,trend,sensitive,3,87,0.405,0.4502,0.8161
residual_mom,trend,sensitive,3,87,0.393,0.4394,0.8161
coppock_curve,trend,sensitive,3,87,0.368,0.4103,0.7701
vol_scaled_mom,trend,sensitive,5,145,0.3478,0.4344,0.8345
turn_of_month,pattern,sensitive,4,116,0.3439,0.3693,0.7931
mom_crash_protect,trend,sensitive,4,116,0.335,0.4172,0.8362
intermediate_mom,trend,sensitive,4,116,0.3137,0.4177,0.8103
frog_in_pan,trend,sensitive,5,145,0.2906,0.4397,0.7517
demarker,meanrev,sensitive,4,116,0.2813,0.4621,0.6983
consistent_mom,trend,sensitive,3,87,0.2775,0.3766,0.7701
keltner_reversion,meanrev,sensitive,4,116,0.2491,0.468,0.7155
ultimate_osc,meanrev,sensitive,2,58,0.2277,0.3305,0.7586
multi_tsmom,trend,sensitive,5,145,0.2203,0.4082,0.731
seasonality,pattern,sensitive,3,87,0.2134,0.4473,0.7011
rsi_reversion,meanrev,sensitive,10,290,0.2059,0.4005,0.6552
mfi,volume,sensitive,3,87,0.2037,0.4063,0.6552
psych_line,meanrev,sensitive,3,87,0.1934,0.4414,0.6897
ma_regime_momentum,trend,sensitive,5,145,0.1742,0.4211,0.6828
stochastic,meanrev,sensitive,5,145,0.1728,0.4391,0.669
zscore_trend,meanrev,sensitive,4,116,0.1631,0.4459,0.6724
percent_b,meanrev,sensitive,4,116,0.1416,0.3948,0.6466
cci_reversion,meanrev,sensitive,5,145,0.1326,0.4073,0.6414
stoch_rsi,meanrev,sensitive,4,116,0.1306,0.3456,0.6897
vwap_reversion,meanrev,sensitive,3,87,0.128,0.4334,0.6092
baz_trend,trend,sensitive,3,87,0.1271,0.3773,0.6552
three_bar_reversal,pattern,sensitive,1,29,0.1262,0.4585,0.5862
zscore_reversion,meanrev,sensitive,6,174,0.1248,0.4043,0.6552
vol_mom,composite,sensitive,5,145,0.1244,0.398,0.6276
bb_reversion,meanrev,sensitive,6,174,0.1209,0.4111,0.6609
nr_breakout,pattern,sensitive,6,174,0.1134,0.4385,0.592
ts_momentum,trend,sensitive,5,145,0.1125,0.426,0.5793
short_reversal,meanrev,sensitive,4,116,0.1092,0.4289,0.5948
adaptive_rsi,meanrev,sensitive,4,116,0.0858,0.4,0.5776
trend_intensity,trend,sensitive,4,116,0.0846,0.4555,0.569
overnight_gap,volume,sensitive,6,174,0.0752,0.3831,0.5632
williams_r,meanrev,sensitive,4,116,0.0746,0.3919,0.5431
hv_ratio,volatility,sensitive,4,116,0.0675,0.4271,0.5948
high52_momentum,trend,sensitive,5,145,0.0632,0.3879,0.5517
ma_crossover,trend,sensitive,12,348,0.0533,0.4508,0.5747
low_vol_regime,volatility,sensitive,6,174,0.0533,0.378,0.5345
connors_rsi,meanrev,sensitive,2,58,0.0436,0.4333,0.5345
donchian_breakout,trend,sensitive,5,145,0.035,0.4116,0.5034
turtle,trend,sensitive,3,87,0.0205,0.3984,0.4828
volume_roc,volume,sensitive,4,116,0.0056,0.4246,0.5
rvi_divergence,meanrev,sensitive,3,87,0.0042,0.4223,0.4253
triple_screen,composite,sensitive,4,116,0.0,0.0,0.0
squeeze_breakout,volatility,sensitive,3,87,-0.0076,0.4151,0.5057
klinger_osc,volume,sensitive,3,87,-0.035,0.4526,0.4368
trix,trend,sensitive,3,87,-0.0396,0.3817,0.4483
volume_surge,volume,sensitive,3,87,-0.0453,0.4584,0.4713
kama,trend,sensitive,3,87,-0.0476,0.2257,0.1149
pivot_bounce,pattern,sensitive,3,87,-0.0544,0.4649,0.4943
elder_impulse,composite,sensitive,3,87,-0.0574,0.3389,0.4138
macd_signal,trend,sensitive,4,116,-0.0883,0.3667,0.3966
tema_crossover,trend,sensitive,5,145,-0.0992,0.4122,0.4
price_oscillator,trend,sensitive,4,116,-0.1051,0.4253,0.3017
roc_momentum,trend,sensitive,5,145,-0.108,0.4182,0.3379
linreg_slope,trend,sensitive,4,116,-0.1121,0.4372,0.4397
vol_breakout,volatility,sensitive,4,116,-0.1197,0.3646,0.3966
aroon,trend,sensitive,3,87,-0.1231,0.4843,0.4368
relative_vigor,trend,sensitive,3,87,-0.1328,0.4614,0.4828
bll_filter,trend,sensitive,7,203,-0.1406,0.3701,0.3793
dema_crossover,trend,sensitive,5,145,-0.1453,0.4891,0.3586
chandelier_exit,composite,sensitive,4,116,-0.1514,0.4201,0.3707
engulfing,pattern,sensitive,1,29,-0.1528,0.4898,0.3793
hull_ma,trend,sensitive,4,116,-0.1548,0.4064,0.319
hurst_regime,trend,sensitive,3,87,-0.1551,0.4651,0.3793
obv_trend,volume,sensitive,3,87,-0.1621,0.3945,0.3678
mcginley_dynamic,trend,sensitive,4,116,-0.1674,0.4369,0.3448
chaikin_mf,volume,sensitive,3,87,-0.1719,0.3915,0.3333
signed_range_mom,trend,sensitive,5,145,-0.1824,0.4032,0.3103
fisher_transform,trend,sensitive,4,116,-0.1833,0.4026,0.3362
gap_fade,meanrev,sensitive,3,87,-0.186,0.3481,0.2644
vortex,trend,sensitive,3,87,-0.1872,0.4694,0.2874
er_regime,trend,sensitive,5,145,-0.1878,0.4373,0.2897
bb_breakout,trend,sensitive,5,145,-0.1955,0.4074,0.2828
parabolic_sar,trend,sensitive,4,116,-0.1963,0.4188,0.2931
price_acceleration,trend,sensitive,6,174,-0.2013,0.3779,0.3046
force_index,volume,sensitive,3,87,-0.2037,0.4248,0.2759
ichimoku,trend,sensitive,2,58,-0.2118,0.5308,0.3276
higher_highs_lows,pattern,sensitive,3,87,-0.2141,0.4708,0.3333
chande_momentum,trend,sensitive,5,145,-0.2146,0.4413,0.3103
cci_trend,trend,sensitive,5,145,-0.2278,0.4304,0.2759
macd_rsi_combo,composite,sensitive,4,116,-0.2312,0.413,0.3017
supertrend,trend,sensitive,5,145,-0.2358,0.4895,0.3379
elder_ray,trend,sensitive,3,87,-0.2379,0.3843,0.2414
cmo_fisher,trend,sensitive,4,116,-0.2449,0.376,0.2845
chaikin_osc,volume,sensitive,3,87,-0.333,0.4215,0.1954
atr_breakout,volatility,sensitive,5,145,-0.3547,0.4193,0.2276
adx_trend,trend,sensitive,5,145,-0.3852,0.44,0.2207
