name,family,ticker,category,is_sharpe,oos_sharpe,oos_drawdown,trade_count
ma_crossover__fast5__slow20__kindsma,ma_crossover,SPY,trend,0.3269,-0.875,-0.5157,208
ma_crossover__fast10__slow30__kindsma,ma_crossover,SPY,trend,0.0349,0.0752,-0.3004,118
ma_crossover__fast20__slow50__kindsma,ma_crossover,SPY,trend,-0.069,0.4592,-0.2142,74
ma_crossover__fast50__slow100__kindsma,ma_crossover,SPY,trend,0.2962,0.4426,-0.3033,26
ma_crossover__fast50__slow200__kindsma,ma_crossover,SPY,trend,0.4223,0.7431,-0.1954,12
ma_crossover__fast100__slow200__kindsma,ma_crossover,SPY,trend,0.576,0.4307,-0.2945,11
ma_crossover__fast10__slow50__kindsma,ma_crossover,SPY,trend,0.1258,-0.0032,-0.2874,94
ma_crossover__fast20__slow100__kindsma,ma_crossover,SPY,trend,0.1667,0.5433,-0.2481,35
ma_crossover__fast5__slow20__kindema,ma_crossover,SPY,trend,0.142,-0.7742,-0.4625,220
ma_crossover__fast12__slow26__kindema,ma_crossover,SPY,trend,0.1415,-0.3723,-0.4544,131
ma_crossover__fast10__slow50__kindema,ma_crossover,SPY,trend,0.2347,0.0885,-0.2781,91
ma_crossover__fast20__slow100__kindema,ma_crossover,SPY,trend,0.1477,0.3064,-0.3552,45
ts_momentum__period21,ts_momentum,SPY,trend,0.178,-0.2867,-0.3465,318
ts_momentum__period42,ts_momentum,SPY,trend,0.404,0.0975,-0.3133,211
ts_momentum__period63,ts_momentum,SPY,trend,0.0232,0.0723,-0.4299,170
ts_momentum__period126,ts_momentum,SPY,trend,0.3721,0.6116,-0.2682,99
ts_momentum__period252,ts_momentum,SPY,trend,0.3362,0.4773,-0.2874,64
roc_momentum__period5,roc_momentum,SPY,trend,-0.4897,-0.34,-0.2418,750
roc_momentum__period10,roc_momentum,SPY,trend,0.2166,-0.776,-0.4688,461
roc_momentum__period20,roc_momentum,SPY,trend,0.3188,-0.3123,-0.3314,333
roc_momentum__period30,roc_momentum,SPY,trend,0.1878,-0.1289,-0.3206,262
roc_momentum__period60,roc_momentum,SPY,trend,0.2758,0.287,-0.296,156
macd_signal__fast12__slow26__signal9,macd_signal,SPY,trend,0.1551,-0.6147,-0.3851,314
macd_signal__fast8__slow17__signal9,macd_signal,SPY,trend,0.1171,-0.3585,-0.3027,374
macd_signal__fast5__slow35__signal5,macd_signal,SPY,trend,-0.0111,-0.3589,-0.3783,518
macd_signal__fast3__slow10__signal16,macd_signal,SPY,trend,-0.1084,-0.1201,-0.318,578
donchian_breakout__period10,donchian_breakout,SPY,trend,-0.3099,-0.0608,-0.1414,1114
donchian_breakout__period20,donchian_breakout,SPY,trend,-0.3833,0.2192,-0.0785,886
donchian_breakout__period30,donchian_breakout,SPY,trend,-0.5032,0.3837,-0.0607,756
donchian_breakout__period40,donchian_breakout,SPY,trend,-0.3706,0.3706,-0.0677,680
donchian_breakout__period55,donchian_breakout,SPY,trend,-0.4476,0.3545,-0.0514,604
bb_breakout__period20__std1.5,bb_breakout,SPY,trend,-0.2628,-0.3796,-0.2319,813
bb_breakout__period20__std2.0,bb_breakout,SPY,trend,-0.6247,-0.4718,-0.1753,396
bb_breakout__period20__std2.5,bb_breakout,SPY,trend,-0.3541,-0.24,-0.1125,114
bb_breakout__period30__std2.0,bb_breakout,SPY,trend,-0.706,-0.1218,-0.1419,352
bb_breakout__period50__std2.0,bb_breakout,SPY,trend,0.0955,-0.329,-0.1533,250
supertrend__period7__mult2.0,supertrend,SPY,trend,0.2467,-1.3541,-0.6118,218
supertrend__period7__mult3.0,supertrend,SPY,trend,0.2166,-0.8568,-0.5339,129
supertrend__period10__mult3.0,supertrend,SPY,trend,0.1201,-0.5895,-0.453,127
supertrend__period14__mult2.0,supertrend,SPY,trend,-0.1676,-0.9837,-0.5071,232
supertrend__period14__mult3.0,supertrend,SPY,trend,0.167,-0.5732,-0.5061,127
parabolic_sar__step0.01__max_af0.1,parabolic_sar,SPY,trend,0.4703,-0.6399,-0.4111,223
parabolic_sar__step0.02__max_af0.2,parabolic_sar,SPY,trend,-0.0798,-1.0344,-0.5344,378
parabolic_sar__step0.03__max_af0.2,parabolic_sar,SPY,trend,-0.3042,-0.3738,-0.3087,446
parabolic_sar__step0.05__max_af0.2,parabolic_sar,SPY,trend,-0.0442,-0.0169,-0.2851,551
adx_trend__period14__threshold20,adx_trend,SPY,trend,-0.3081,-1.2835,-0.5223,277
adx_trend__period14__threshold25,adx_trend,SPY,trend,-0.2255,-0.5971,-0.2629,176
adx_trend__period14__threshold30,adx_trend,SPY,trend,-0.425,-0.4498,-0.1684,127
adx_trend__period21__threshold20,adx_trend,SPY,trend,-0.4145,-0.5818,-0.2933,153
adx_trend__period21__threshold25,adx_trend,SPY,trend,-0.1881,-0.3016,-0.2427,65
ichimoku__tenkan9__kijun26__senkou_b52,ichimoku,SPY,trend,0.0255,-0.5793,-0.4249,500
ichimoku__tenkan7__kijun22__senkou_b44,ichimoku,SPY,trend,0.1255,-0.859,-0.4583,562
linreg_slope__period10,linreg_slope,SPY,trend,-0.345,-0.9583,-0.5331,345
linreg_slope__period20,linreg_slope,SPY,trend,0.2648,-0.7585,-0.4717,158
linreg_slope__period30,linreg_slope,SPY,trend,0.0317,0.1558,-0.2422,101
linreg_slope__period50,linreg_slope,SPY,trend,0.2564,0.1994,-0.2512,70
aroon__period14,aroon,SPY,trend,0.43,-0.5887,-0.428,220
aroon__period25,aroon,SPY,trend,0.0589,0.1266,-0.2368,122
aroon__period50,aroon,SPY,trend,0.0666,-0.1581,-0.3425,66
vortex__period10,vortex,SPY,trend,0.2447,-0.5722,-0.4106,423
vortex__period14,vortex,SPY,trend,0.006,-0.9,-0.5447,344
vortex__period21,vortex,SPY,trend,0.1533,-0.2664,-0.328,258
trix__period9,trix,SPY,trend,0.1974,-0.4102,-0.3665,139
trix__period12,trix,SPY,trend,0.0424,-0.012,-0.3736,98
trix__period18,trix,SPY,trend,0.1697,0.2948,-0.2105,70
hull_ma__period14,hull_ma,SPY,trend,-0.654,-0.1878,-0.33,581
hull_ma__period20,hull_ma,SPY,trend,-0.0118,-0.6045,-0.4297,398
hull_ma__period30,hull_ma,SPY,trend,0.4127,-0.3627,-0.3728,279
hull_ma__period50,hull_ma,SPY,trend,0.2576,-0.4991,-0.4191,173
kama__period5,kama,SPY,trend,0.0263,-0.0693,-0.2491,2028
kama__period10,kama,SPY,trend,0.0762,0.0,0.0,148
kama__period20,kama,SPY,trend,0.7327,0.0,0.0,41
turtle__entry20__exit_p10,turtle,SPY,trend,-0.3833,0.2192,-0.0785,886
turtle__entry55__exit_p20,turtle,SPY,trend,-0.4476,0.3545,-0.0514,604
turtle__entry10__exit_p5,turtle,SPY,trend,-0.3099,-0.0608,-0.1414,1114
dual_momentum__period63,dual_momentum,SPY,trend,0.6668,0.527,-0.2254,171
dual_momentum__period126,dual_momentum,SPY,trend,0.9118,0.7638,-0.1728,99
dual_momentum__period252,dual_momentum,SPY,trend,0.7647,0.6395,-0.1963,65
elder_ray__period13,elder_ray,SPY,trend,-0.0575,-0.472,-0.3572,574
elder_ray__period21,elder_ray,SPY,trend,0.0228,-0.6118,-0.4008,472
elder_ray__period34,elder_ray,SPY,trend,0.1168,-0.6645,-0.4504,356
rsi_reversion__period7__lo30__hi70,rsi_reversion,SPY,meanrev,0.2965,0.357,-0.0952,690
rsi_reversion__period7__lo25__hi75,rsi_reversion,SPY,meanrev,0.5384,0.339,-0.0821,456
rsi_reversion__period14__lo30__hi70,rsi_reversion,SPY,meanrev,0.522,0.3862,-0.0621,272
rsi_reversion__period14__lo25__hi75,rsi_reversion,SPY,meanrev,0.3403,0.5819,-0.0266,96
rsi_reversion__period14__lo35__hi65,rsi_reversion,SPY,meanrev,0.3608,0.5733,-0.1016,508
rsi_reversion__period21__lo30__hi70,rsi_reversion,SPY,meanrev,0.6411,0.6304,-0.0266,116
rsi_reversion__period21__lo25__hi75,rsi_reversion,SPY,meanrev,0.3278,0.3995,-0.0119,24
rsi_reversion__period28__lo30__hi70,rsi_reversion,SPY,meanrev,0.3771,0.5732,-0.0119,52
rsi_reversion__period30__lo30__hi70,rsi_reversion,SPY,meanrev,0.2473,0.7014,-0.0119,38
rsi_reversion__period30__lo25__hi75,rsi_reversion,SPY,meanrev,-0.1453,0.0,0.0,6
bb_reversion__period20__std1.5,bb_reversion,SPY,meanrev,0.1311,0.252,-0.0952,813
bb_reversion__period20__std2.0,bb_reversion,SPY,meanrev,0.5089,0.3843,-0.0821,396
bb_reversion__period20__std2.5,bb_reversion,SPY,meanrev,0.2626,0.202,-0.0846,114
bb_reversion__period30__std2.0,bb_reversion,SPY,meanrev,0.6099,0.054,-0.099,352
bb_reversion__period30__std2.5,bb_reversion,SPY,meanrev,0.672,0.087,-0.0821,116
bb_reversion__period50__std2.0,bb_reversion,SPY,meanrev,-0.1607,0.2778,-0.092,250
zscore_reversion__period10__threshold1.0,zscore_reversion,SPY,meanrev,0.1321,0.1785,-0.1692,1318
zscore_reversion__period20__threshold1.5,zscore_reversion,SPY,meanrev,0.1311,0.252,-0.0952,813
zscore_reversion__period20__threshold2.0,zscore_reversion,SPY,meanrev,0.5089,0.3843,-0.0821,396
zscore_reversion__period30__threshold1.5,zscore_reversion,SPY,meanrev,0.0655,0.4165,-0.099,686
zscore_reversion__period30__threshold2.0,zscore_reversion,SPY,meanrev,0.6099,0.054,-0.099,352
zscore_reversion__period60__threshold2.0,zscore_reversion,SPY,meanrev,-0.1113,0.2322,-0.092,244
stochastic__k5__d3__lo20__hi80,stochastic,SPY,meanrev,0.3085,-0.0497,-0.2117,808
stochastic__k14__d3__lo20__hi80,stochastic,SPY,meanrev,-0.4474,0.8507,-0.1153,596
stochastic__k14__d3__lo30__hi70,stochastic,SPY,meanrev,-0.175,0.5824,-0.1771,580
stochastic__k14__d5__lo20__hi80,stochastic,SPY,meanrev,-0.0794,1.1006,-0.0889,446
stochastic__k21__d3__lo20__hi80,stochastic,SPY,meanrev,-0.4809,0.2458,-0.1578,444
cci_reversion__period14__threshold100,cci_reversion,SPY,meanrev,-0.0542,0.0846,-0.1279,967
cci_reversion__period14__threshold150,cci_reversion,SPY,meanrev,0.1931,0.4335,-0.083,556
cci_reversion__period20__threshold100,cci_reversion,SPY,meanrev,-0.0296,0.3792,-0.1336,808
cci_reversion__period20__threshold150,cci_reversion,SPY,meanrev,0.6349,0.378,-0.0883,482
cci_reversion__period30__threshold100,cci_reversion,SPY,meanrev,-0.1773,0.3337,-0.0952,639
williams_r__period14__lo-80__hi-20,williams_r,SPY,meanrev,-0.0181,0.456,-0.0952,1055
williams_r__period14__lo-90__hi-10,williams_r,SPY,meanrev,-0.0385,-0.113,-0.1291,1049
williams_r__period21__lo-80__hi-20,williams_r,SPY,meanrev,-0.3017,0.6229,-0.1042,812
williams_r__period28__lo-80__hi-20,williams_r,SPY,meanrev,-0.3041,0.1672,-0.174,690
keltner_reversion__period20__mult1.5,keltner_reversion,SPY,meanrev,-0.2134,0.1362,-0.1151,708
keltner_reversion__period20__mult2.0,keltner_reversion,SPY,meanrev,0.1394,0.3094,-0.1023,492
keltner_reversion__period20__mult2.5,keltner_reversion,SPY,meanrev,0.277,0.5892,-0.0621,246
keltner_reversion__period30__mult2.0,keltner_reversion,SPY,meanrev,0.2553,0.0097,-0.1318,602
vwap_reversion__period20__z_thresh1.0,vwap_reversion,SPY,meanrev,-0.2338,0.5857,-0.1222,771
vwap_reversion__period20__z_thresh1.5,vwap_reversion,SPY,meanrev,0.0179,0.2968,-0.0952,693
vwap_reversion__period20__z_thresh2.0,vwap_reversion,SPY,meanrev,0.2093,0.2023,-0.1043,520
percent_b__period20__std2.0__lo0.05__hi0.95,percent_b,SPY,meanrev,0.3104,0.2843,-0.0821,550
percent_b__period20__std2.0__lo0.1__hi0.9,percent_b,SPY,meanrev,0.2916,0.2051,-0.0846,746
percent_b__period20__std2.0__lo0.2__hi0.8,percent_b,SPY,meanrev,-0.1527,0.5827,-0.1076,904
percent_b__period30__std2.0__lo0.2__hi0.8,percent_b,SPY,meanrev,0.014,0.5018,-0.0952,769
connors_rsi__rsi_period3__streak_period2__rank_period100,connors_rsi,SPY,meanrev,0.2834,-0.2084,-0.1378,1187
connors_rsi__rsi_period2__streak_period3__rank_period100,connors_rsi,SPY,meanrev,0.3,-0.0024,-0.1089,1243
ultimate_osc__p17__p214__p328,ultimate_osc,SPY,meanrev,0.2109,0.6389,-0.0299,288
ultimate_osc__p14__p28__p316,ultimate_osc,SPY,meanrev,0.1634,0.1638,-0.0929,646
gap_fade__threshold0.01,gap_fade,SPY,meanrev,-0.1806,-0.6246,-0.1915,540
gap_fade__threshold0.015,gap_fade,SPY,meanrev,0.6589,-0.0017,-0.0772,213
gap_fade__threshold0.02,gap_fade,SPY,meanrev,0.1451,-0.4985,-0.0736,96
obv_trend__period10,obv_trend,SPY,volume,-0.2729,-0.1339,-0.3021,793
obv_trend__period20,obv_trend,SPY,volume,-0.1742,0.063,-0.233,546
obv_trend__period50,obv_trend,SPY,volume,-0.1861,-0.4478,-0.4069,348
chaikin_mf__period10,chaikin_mf,SPY,volume,-0.097,0.0939,-0.3743,446
chaikin_mf__period20,chaikin_mf,SPY,volume,-0.1923,0.0448,-0.2155,306
chaikin_mf__period21,chaikin_mf,SPY,volume,0.1278,0.0669,-0.2998,276
mfi__period10,mfi,SPY,volume,0.2864,-0.0492,-0.0767,290
mfi__period14,mfi,SPY,volume,0.5849,0.3128,-0.0382,146
mfi__period21,mfi,SPY,volume,-0.0919,0.4417,-0.0083,38
volume_surge__period10__mult1.5,volume_surge,SPY,volume,-0.2831,0.1983,-0.0854,352
volume_surge__period20__mult2.0,volume_surge,SPY,volume,-0.3361,-0.1317,-0.0825,99
volume_surge__period20__mult3.0,volume_surge,SPY,volume,-0.0011,-0.0651,-0.0142,8
force_index__period2,force_index,SPY,volume,-0.7357,0.2633,-0.1703,1361
force_index__period13,force_index,SPY,volume,-0.0435,-0.479,-0.3988,497
force_index__period20,force_index,SPY,volume,-0.0807,-0.5088,-0.4011,395
chaikin_osc__fast3__slow10,chaikin_osc,SPY,volume,-0.2062,-0.3755,-0.3797,371
chaikin_osc__fast3__slow12,chaikin_osc,SPY,volume,-0.2224,-0.4137,-0.4043,347
chaikin_osc__fast5__slow12,chaikin_osc,SPY,volume,0.0851,-0.334,-0.4081,255
